Liquid Name,Source Plate,Source Well
[Berberine chloride][0.01],SRC_LALS_2026,A1
[Berberine chloride][0.1],SRC_LALS_2026,B1
[Berberine chloride][1.0],SRC_LALS_2026,C1
[Etoposide][0.01],SRC_LALS_2026,D1
[Etoposide][0.1],SRC_LALS_2026,E1
[Etoposide][1.0],SRC_LALS_2026,F1
[Fenbendazole][0.01],SRC_LALS_2026,G1
[Fenbendazole][0.1],SRC_LALS_2026,H1
[Fenbendazole][1.0],SRC_LALS_2026,A2
[Sorbitol][0.01],SRC_LALS_2026,B2
[Sorbitol][0.1],SRC_LALS_2026,C2
[Sorbitol][1.0],SRC_LALS_2026,D2
[DMSO][0.0],SRC_LALS_2026,E2
